REAL,PRED
angry,angry
angry,angry
angry,fear
angry,angry
angry,sad
angry,angry
angry,angry
angry,sad
angry,angry
angry,angry
angry,neutral
angry,fear
angry,angry
angry,angry
angry,angry
angry,neutral
angry,angry
angry,angry
angry,sad
angry,angry
angry,sad
angry,angry
angry,angry
angry,angry
angry,sad
angry,fear
angry,angry
angry,angry
angry,angry
angry,angry
angry,happy
angry,angry
angry,angry
angry,fear
angry,angry
angry,neutral
angry,fear
angry,angry
angry,angry
angry,angry
angry,happy
angry,angry
angry,sad
angry,angry
angry,neutral
angry,angry
angry,angry
angry,angry
angry,sad
angry,angry
angry,angry
angry,angry
angry,neutral
angry,angry
angry,angry
angry,angry
angry,angry
angry,fear
angry,angry
angry,angry
angry,angry
angry,angry
angry,sad
angry,happy
angry,angry
angry,sad
angry,angry
angry,angry
angry,angry
angry,sad
angry,sad
angry,happy
angry,angry
angry,sad
angry,sad
angry,neutral
angry,angry
angry,sad
angry,fear
angry,angry
angry,angry
angry,angry
angry,happy
angry,sad
angry,angry
angry,sad
angry,neutral
angry,angry
angry,fear
angry,angry
angry,angry
angry,angry
angry,sad
angry,angry
angry,angry
angry,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,neutral
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,sad
angry,fear
angry,angry
angry,angry
angry,neutral
angry,fear
angry,neutral
angry,sad
angry,angry
angry,neutral
angry,angry
angry,angry
angry,angry
angry,fear
angry,sad
angry,angry
angry,sad
angry,angry
angry,neutral
angry,neutral
angry,angry
angry,angry
angry,sad
angry,sad
angry,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,fear
angry,fear
angry,fear
angry,sad
angry,angry
angry,neutral
angry,angry
angry,angry
angry,angry
angry,angry
angry,fear
angry,neutral
angry,angry
angry,surprise
angry,angry
angry,sad
angry,surprise
angry,angry
angry,happy
angry,sad
angry,angry
angry,happy
angry,sad
angry,angry
angry,sad
angry,sad
angry,angry
angry,fear
angry,angry
angry,sad
angry,sad
angry,angry
angry,sad
angry,angry
angry,angry
angry,angry
angry,fear
angry,angry
angry,angry
angry,fear
angry,sad
angry,sad
angry,sad
angry,angry
angry,neutral
angry,angry
angry,angry
angry,neutral
angry,angry
angry,sad
angry,angry
angry,angry
angry,angry
angry,sad
angry,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,happy
angry,sad
angry,fear
angry,angry
angry,angry
angry,neutral
angry,sad
angry,angry
angry,angry
angry,fear
angry,angry
angry,angry
angry,sad
angry,angry
angry,angry
angry,fear
fear,happy
fear,fear
fear,fear
fear,angry
fear,angry
fear,fear
fear,sad
fear,fear
fear,sad
fear,fear
fear,sad
fear,fear
fear,sad
fear,fear
fear,surprise
fear,surprise
fear,angry
fear,fear
fear,fear
fear,fear
fear,fear
fear,happy
fear,neutral
fear,sad
fear,fear
fear,surprise
fear,fear
fear,happy
fear,sad
fear,happy
fear,fear
fear,surprise
fear,fear
fear,sad
fear,sad
fear,angry
fear,fear
fear,neutral
fear,sad
fear,angry
fear,fear
fear,angry
fear,fear
fear,sad
fear,fear
fear,fear
fear,fear
fear,sad
fear,happy
fear,angry
fear,surprise
fear,happy
fear,fear
fear,angry
fear,fear
fear,angry
fear,fear
fear,fear
fear,fear
fear,surprise
fear,sad
fear,fear
fear,fear
fear,surprise
fear,sad
fear,fear
fear,sad
fear,fear
fear,neutral
fear,fear
fear,fear
fear,fear
fear,sad
fear,fear
fear,surprise
fear,neutral
fear,sad
fear,angry
fear,fear
fear,fear
fear,fear
fear,happy
fear,neutral
fear,sad
fear,sad
fear,fear
fear,surprise
fear,angry
fear,neutral
fear,fear
fear,fear
fear,fear
fear,neutral
fear,fear
fear,fear
fear,fear
fear,sad
fear,fear
fear,fear
fear,fear
fear,happy
fear,fear
fear,sad
fear,fear
fear,neutral
fear,surprise
fear,fear
fear,fear
fear,neutral
fear,angry
fear,neutral
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,sad
fear,angry
fear,fear
fear,sad
fear,neutral
fear,surprise
fear,fear
fear,angry
fear,angry
fear,surprise
fear,fear
fear,neutral
fear,fear
fear,neutral
fear,surprise
fear,fear
fear,angry
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,sad
fear,fear
fear,fear
fear,fear
fear,fear
fear,neutral
fear,angry
fear,angry
fear,fear
fear,fear
fear,sad
fear,fear
fear,angry
fear,sad
fear,fear
fear,happy
fear,fear
fear,angry
fear,surprise
fear,fear
fear,sad
fear,happy
fear,neutral
fear,surprise
fear,fear
fear,sad
fear,fear
fear,surprise
fear,happy
fear,fear
fear,sad
fear,fear
fear,surprise
fear,angry
fear,fear
fear,angry
fear,fear
fear,sad
fear,sad
fear,fear
fear,neutral
fear,sad
fear,fear
fear,happy
fear,surprise
fear,fear
fear,fear
fear,fear
fear,angry
fear,fear
fear,fear
fear,fear
fear,fear
fear,angry
fear,fear
fear,neutral
fear,fear
fear,fear
fear,fear
fear,neutral
fear,happy
fear,fear
fear,neutral
fear,angry
fear,angry
fear,fear
fear,sad
fear,angry
fear,sad
fear,angry
fear,angry
fear,fear
fear,neutral
fear,neutral
fear,surprise
fear,angry
fear,sad
fear,fear
fear,sad
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,happy
fear,angry
fear,fear
fear,angry
fear,angry
fear,sad
fear,happy
fear,fear
fear,fear
fear,sad
fear,fear
fear,angry
fear,happy
fear,angry
fear,fear
fear,fear
fear,happy
fear,happy
fear,fear
fear,surprise
fear,fear
fear,sad
fear,happy
fear,fear
fear,fear
fear,neutral
fear,fear
fear,neutral
fear,fear
fear,fear
fear,sad
fear,angry
fear,sad
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,angry
fear,angry
fear,neutral
fear,happy
fear,fear
fear,surprise
fear,sad
fear,fear
fear,sad
fear,fear
fear,angry
fear,fear
fear,fear
fear,sad
fear,fear
fear,happy
fear,angry
fear,surprise
fear,fear
fear,fear
fear,angry
fear,surprise
fear,angry
fear,happy
fear,angry
fear,fear
fear,sad
fear,surprise
fear,surprise
fear,sad
fear,angry
fear,fear
fear,neutral
fear,fear
fear,fear
fear,sad
fear,fear
fear,neutral
fear,sad
fear,sad
fear,angry
fear,angry
fear,fear
fear,sad
fear,fear
fear,angry
fear,fear
fear,fear
fear,sad
fear,fear
fear,angry
fear,sad
fear,angry
fear,neutral
fear,fear
fear,sad
fear,fear
fear,fear
fear,sad
fear,fear
fear,angry
fear,sad
fear,happy
fear,sad
fear,angry
fear,sad
fear,fear
fear,angry
fear,surprise
fear,fear
fear,angry
fear,surprise
fear,fear
fear,surprise
fear,fear
fear,sad
fear,fear
fear,fear
fear,fear
fear,neutral
fear,surprise
fear,angry
fear,fear
fear,sad
fear,neutral
fear,fear
fear,fear
fear,neutral
fear,angry
fear,fear
fear,angry
fear,fear
fear,angry
fear,neutral
fear,fear
fear,fear
fear,surprise
fear,fear
fear,fear
fear,sad
fear,sad
fear,sad
fear,fear
fear,fear
fear,sad
fear,sad
fear,angry
fear,fear
fear,sad
fear,fear
fear,sad
fear,angry
fear,surprise
fear,angry
fear,fear
fear,sad
fear,sad
fear,fear
fear,surprise
fear,fear
fear,sad
fear,surprise
fear,fear
fear,fear
fear,sad
fear,neutral
fear,neutral
fear,fear
fear,neutral
fear,fear
fear,fear
fear,fear
fear,fear
fear,angry
fear,fear
fear,sad
fear,fear
fear,fear
fear,fear
fear,fear
fear,angry
fear,happy
fear,happy
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,surprise
fear,fear
fear,angry
fear,sad
fear,fear
fear,sad
fear,sad
fear,sad
fear,angry
fear,fear
fear,angry
fear,happy
fear,angry
fear,neutral
fear,neutral
fear,fear
fear,angry
fear,angry
fear,sad
fear,fear
fear,fear
fear,happy
fear,happy
fear,sad
fear,angry
fear,neutral
fear,fear
fear,sad
fear,fear
fear,fear
fear,angry
fear,happy
fear,fear
fear,fear
fear,sad
fear,sad
fear,fear
fear,fear
fear,fear
fear,sad
fear,neutral
fear,surprise
fear,fear
fear,neutral
fear,fear
fear,angry
fear,angry
fear,sad
fear,fear
fear,fear
fear,neutral
fear,sad
fear,fear
fear,sad
fear,neutral
fear,angry
fear,sad
fear,fear
fear,surprise
fear,angry
fear,fear
fear,fear
fear,sad
fear,happy
fear,sad
fear,fear
fear,fear
fear,sad
fear,fear
fear,angry
fear,sad
fear,fear
fear,fear
fear,fear
fear,sad
fear,fear
fear,sad
fear,fear
fear,surprise
fear,fear
fear,happy
fear,surprise
fear,angry
fear,sad
fear,neutral
fear,fear
fear,fear
fear,fear
fear,fear
fear,surprise
fear,fear
fear,fear
fear,neutral
fear,sad
fear,happy
fear,angry
fear,happy
fear,angry
fear,happy
fear,happy
fear,neutral
fear,angry
fear,happy
happy,happy
happy,happy
happy,happy
happy,surprise
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,fear
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,sad
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,sad
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,surprise
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,neutral
happy,happy
happy,happy
happy,neutral
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,angry
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,fear
happy,happy
happy,happy
happy,happy
happy,happy
happy,surprise
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,neutral
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,neutral
happy,surprise
happy,happy
happy,happy
happy,happy
happy,angry
happy,sad
happy,neutral
happy,happy
happy,happy
happy,happy
happy,happy
happy,neutral
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,neutral
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,neutral
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,neutral
happy,happy
happy,fear
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,neutral
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,neutral
happy,surprise
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,surprise
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,fear
happy,happy
happy,surprise
happy,happy
happy,fear
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,surprise
happy,neutral
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,neutral
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,fear
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,angry
happy,happy
happy,neutral
happy,happy
happy,fear
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,surprise
happy,neutral
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,surprise
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,surprise
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,fear
happy,surprise
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,neutral
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,neutral
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,fear
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,surprise
happy,happy
happy,happy
happy,neutral
happy,happy
happy,fear
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,surprise
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,neutral
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,happy
happy,neutral
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,neutral
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,surprise
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,surprise
happy,surprise
happy,happy
happy,happy
happy,happy
happy,happy
happy,surprise
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,surprise
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,neutral
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,surprise
happy,happy
happy,happy
happy,happy
happy,happy
happy,surprise
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,angry
happy,happy
happy,happy
happy,happy
happy,neutral
happy,happy
happy,happy
happy,fear
happy,happy
happy,happy
happy,neutral
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,surprise
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,surprise
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,sad
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,fear
happy,fear
happy,happy
happy,neutral
happy,happy
happy,happy
happy,surprise
neutral,fear
neutral,sad
neutral,neutral
neutral,fear
neutral,angry
neutral,neutral
neutral,neutral
neutral,neutral
neutral,fear
neutral,happy
neutral,neutral
neutral,happy
neutral,sad
neutral,neutral
neutral,sad
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,sad
neutral,neutral
neutral,neutral
neutral,happy
neutral,happy
neutral,neutral
neutral,neutral
neutral,sad
neutral,neutral
neutral,neutral
neutral,sad
neutral,neutral
neutral,neutral
neutral,happy
neutral,neutral
neutral,neutral
neutral,neutral
neutral,sad
neutral,sad
neutral,neutral
neutral,neutral
neutral,angry
neutral,sad
neutral,neutral
neutral,neutral
neutral,neutral
neutral,sad
neutral,fear
neutral,sad
neutral,neutral
neutral,sad
neutral,neutral
neutral,neutral
neutral,sad
neutral,neutral
neutral,happy
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,fear
neutral,neutral
neutral,happy
neutral,sad
neutral,neutral
neutral,sad
neutral,neutral
neutral,sad
neutral,neutral
neutral,angry
neutral,sad
neutral,happy
neutral,happy
neutral,angry
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,sad
neutral,angry
neutral,sad
neutral,neutral
neutral,neutral
neutral,surprise
neutral,neutral
neutral,neutral
neutral,sad
neutral,neutral
neutral,fear
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,fear
neutral,neutral
neutral,sad
neutral,happy
neutral,neutral
neutral,neutral
neutral,neutral
neutral,angry
neutral,sad
neutral,angry
neutral,sad
neutral,neutral
neutral,neutral
neutral,happy
neutral,neutral
neutral,neutral
neutral,happy
neutral,neutral
neutral,happy
neutral,happy
neutral,neutral
neutral,neutral
neutral,neutral
neutral,sad
neutral,sad
neutral,neutral
neutral,sad
neutral,angry
neutral,neutral
neutral,sad
neutral,sad
neutral,neutral
neutral,neutral
neutral,neutral
neutral,happy
neutral,sad
neutral,sad
neutral,neutral
neutral,neutral
neutral,happy
neutral,sad
neutral,fear
neutral,neutral
neutral,fear
neutral,neutral
neutral,neutral
neutral,happy
neutral,neutral
neutral,sad
neutral,surprise
neutral,sad
neutral,sad
neutral,sad
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,happy
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,sad
neutral,neutral
neutral,fear
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,happy
neutral,neutral
neutral,happy
neutral,neutral
neutral,fear
neutral,happy
neutral,sad
neutral,angry
neutral,fear
neutral,happy
neutral,angry
neutral,fear
neutral,surprise
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,fear
neutral,neutral
neutral,fear
neutral,neutral
neutral,neutral
neutral,angry
neutral,neutral
neutral,neutral
neutral,sad
neutral,neutral
neutral,neutral
neutral,sad
neutral,neutral
neutral,angry
neutral,happy
neutral,neutral
neutral,sad
neutral,neutral
neutral,neutral
neutral,neutral
neutral,happy
neutral,neutral
neutral,neutral
neutral,fear
neutral,neutral
neutral,happy
neutral,sad
neutral,neutral
neutral,sad
neutral,neutral
neutral,sad
neutral,sad
neutral,neutral
neutral,sad
neutral,neutral
neutral,angry
neutral,neutral
neutral,neutral
neutral,happy
neutral,neutral
neutral,sad
neutral,neutral
neutral,sad
neutral,neutral
neutral,neutral
neutral,angry
neutral,neutral
neutral,happy
neutral,neutral
neutral,neutral
neutral,neutral
neutral,sad
neutral,sad
neutral,neutral
neutral,neutral
neutral,sad
neutral,neutral
neutral,happy
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,angry
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,surprise
neutral,neutral
neutral,happy
neutral,neutral
neutral,neutral
neutral,sad
neutral,sad
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,fear
neutral,neutral
neutral,neutral
neutral,angry
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,surprise
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,sad
neutral,fear
neutral,neutral
neutral,happy
neutral,angry
neutral,happy
neutral,neutral
neutral,neutral
neutral,sad
neutral,neutral
neutral,neutral
neutral,happy
neutral,happy
neutral,neutral
neutral,neutral
neutral,neutral
neutral,sad
neutral,sad
neutral,sad
neutral,sad
neutral,neutral
neutral,fear
neutral,sad
neutral,sad
neutral,sad
neutral,sad
neutral,neutral
neutral,neutral
neutral,neutral
